hum_blatant,attention,attention_num,ft_in,ft_out,ft_diff,hum_blatant_in,hum_blatant_out,hum_subtle_in,hum_subtle_out,hum_subtle,authscale,party_strength,close,close_recode,Age,pid7,Gender,race,party_binary,scandal,scandal_out,pid,Republican
99,Only now and then,2,84,2,82,100,1,4.75,3,1.75,1,2,3,2,56,6,Male,White,Republican,NA,NA,Republican,1
2,Hardly at all,1,45,66,-21,51,49,4.5,5.75,-1.25,NA,3,4,3,33,1,Female,White,Democrat,NA,NA,Democrat,0
85,Most of the time,4,100,13,87,100,15,5.75,5.5,0.25,0.75,3,4,3,29,7,Female,Asian,Republican,4.2,-1,Republican,1
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,46,4,Female,White,NA,2.4,NA,Other,0
-55,Some of the time,3,84,30,54,27,82,4.25,4.5,-0.25,0.75,3,2,1,NA,7,NA,NA,Republican,3,-1,Republican,1
13,Most of the time,4,93,4,89,100,87,5.25,1.75,3.5,0.75,3,4,3,65,1,Male,Black,Democrat,3.2,-1,Democrat,0
4,Some of the time,3,91,22,69,95,91,4.25,2,2.25,0.5,2,3,2,31,6,Female,White,Republican,NA,NA,Republican,1
0,Most of the time,4,71,39,32,100,100,6.25,6,0.25,0.25,2,2,1,47,2,Female,White,Democrat,2.8,1,Democrat,0
8,Most of the time,4,80,21,59,100,92,5.75,5.25,0.5,0,3,4,3,29,1,Female,White,Democrat,NA,NA,Democrat,0
10,Most of the time,4,95,40,55,80,70,4.75,5.5,-0.75,1,3,4,3,18,7,Male,Asian,Republican,3.4,1,Republican,1
20,Some of the time,3,52,3,49,82,62,3.25,2.75,0.5,0.5,2,2,1,46,2,Male,White,Democrat,4.2,-1,Democrat,0
74,Some of the time,3,84,11,73,83,9,4.75,3,1.75,1,1,3,2,36,3,Male,Asian,Democrat,3.8,-1,Independent,0
-80,Only now and then,2,100,30,70,20,100,4.5,5,-0.5,1,3,3,2,49,7,Female,White,Republican,5,1,Republican,1
0,Most of the time,4,100,100,0,100,100,7,7,0,1,3,2,1,35,1,Male,Black,Democrat,3.4,1,Democrat,0
NA,Most of the time,4,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,32,4,Female,White,NA,4,NA,Independent,0
38,Most of the time,4,73,1,72,88,50,5.5,4.5,1,0,3,3,2,52,1,Female,White,Democrat,3.8,-1,Democrat,0
-50,Some of the time,3,71,57,14,29,79,4,4.5,-0.5,0.5,2,2,1,47,2,Female,White,Democrat,4.2,-1,Democrat,0
4,Most of the time,4,63,53,10,70,66,4.5,4.5,0,0.25,1,3,2,31,3,Male,White,Democrat,3.4,1,Independent,0
NA,Some of the time,3,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,32,4,Male,Black,NA,3.6,NA,Independent,0
NA,Only now and then,2,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,34,4,Female,White,NA,3.2,NA,Independent,0
